audio,transcript,transcription
1043664892_429784_429785_26025,4255817426657223,4255817426657223
919361428_429866_429871_25355,3388371976344291,3388371976344291
1043664892_429882_429885_25410,8589135141668368,8589135141668368
919361428_429996_430001_25622,5511929517149352,5511929517149352
919361428_430028_430033_25765,2567159423918358,2567159423918358
1043664892_430032_430037_25506,4777936648576862,4777936648576862
919361428_430104_430109_26074,7772594495756132,7772594495756132
1043664892_430209_430213_25280,3826726632377459,3826726632377459
1043664892_430363_430364_25564,6647425413752781,6647425413752781
860296669_430430_430440_25908,3688188316914513,368818336914513
1043664892_430489_430490_26010,2298941967491378,2298941967491378
1043664892_430517_430518_25356,6476941255385864,6476941255385864
1043664892_430546_430563_25516,6157495887981688,6157495887981688
1043664892_430676_430679_25896,1315477639723374,1315477639723374
860296669_430688_430703_25230,3781269377846217,3781269377846217
860296669_430724_430725_25653,2756848474834391,2756848474834391
860296669_430798_430799_25589,7713572343238835,7713572343238835
860296669_430806_430807_26138,4673983338232559,4673983338232559
860296669_430818_430819_25810,2766364447483558,2766364447483558
860296669_430875_430876_25452,2512971278461445,2512971278461445
860296669_430991_430992_25936,1414792851421749,1414792851421749
860296669_431011_431012_25886,7515927388127589,7515927388127589
860296669_431051_431052_25887,9174652279379831,9174652279379831
860296669_431121_431122_25729,4415936641826882,4415936641826882
860296669_431185_431190_25986,6551736928347124,6551736928347124
860296669_431212_431215_25811,8952427495461595,8952427495461595
1269496718_431573_431574_26137,2998948841994291,2998948841994291
763941567_431595_431610_25541,4138115534865571,4138115534865571
1269496718_431964_431965_26013,7464632159249388,7464632159249388
1269496718_431986_431987_25587,3487395599171648,3487395599171648
1269496718_432042_432043_25934,3552881844223712,3552881844223712
1269496718_432127_432128_25563,9976417637783377,9976417637783377
1269496718_432201_432202_25776,4719548354228283,4719548354228283
763941567_432247_432248_25433,3332111459613818,3332111459613818
763941567_432337_432342_25412,2395278842913162,2395278842913162
919361428_432503_432506_25677,1489922167541266,1489922167541266
919361428_432528_432532_25970,7735919321594254,7735919321594254
954206432_432708_432714_25532,6749888982447515,6749888982447515
1051072005_432947_432948_25352,7981258837276818,7981258837276818
1051072005_432987_432992_26071,4579858642131774,4579858642131774
1051072005_433068_433073_25439,2879759238714223,2879759238714223
1051072005_433201_433204_25337,8854873945154771,8854873945154771
1051072005_433213_433218_25902,7876418422198514,7876418422198514
1269496718_433217_433220_25654,8417824762387265,8417824762387265
1051072005_433239_433244_26058,2516277328875118,2516277328875118
1269496718_433248_433250_26064,2761197452738147,2761197452738147
1051072005_433245_433253_26113,4943133416356967,4943133416356967
912272968_433261_433270_26092,4516195778136582,4516195778136582
1269496718_433320_433321_25348,5294569476799798,5294569476799798
1269496718_433457_433462_25712,7929847484945248,7929847484945248
1051072005_433535_433540_26063,6264415158145939,6264415158145939
912272968_433595_433600_25786,2765632364823321,2765632364823321
1269496718_433661_433666_25415,3343497343959113,3343497343959113
1269496718_433667_433672_25948,4655499836119265,4655499836119265
1051072005_433942_433948_26061,4315485158351887,4315485158351887
954206432_434038_434051_25468,2865814163515934,2865814163515934
1051072005_434068_434071_25719,2879565924329988,2879565924329888
912272968_434089_434095_25369,7583429558585383,7583429558585383
1051072005_434094_434099_25785,5375324673196773,5375324673196773
912272968_434216_434222_25377,6196413167459148,6196413167459148
912272968_434290_434296_26152,6976162734981245,6976162734981245
912272968_434467_434472_26097,2158863246515196,2158863246515196
568204248_434913_434914_26052,8163555495219825,8163555495219825
568204248_435033_435037_26148,2244759865864486,2244759865864486
568204248_435038_435045_25306,7495496719924368,7495496719924368
568204248_435085_435088_26000,6512269351199245,6512269351199245
1269496718_435107_435124_25588,5836374524345687,5836374524345687
1269496718_435263_435267_25604,9435831646675219,9435831646675219
568204248_435284_435293_26118,8166893993855486,8166893993855486
568204248_435560_435569_25937,9184576277332319,9184576277332319
1269496718_435783_435792_25328,6373549633953836,6373549633953836
860296669_435809_435826_25523,2916164272816632,2916164272816632
860296669_435897_435928_25404,8216512121622542,8216512121622542
860296669_436043_436059_25495,7547273643675216,7547273643675216
568204248_436157_436169_25704,6324189136885238,6324189136885238
860296669_436139_436211_25792,7485859493291958,7485859493291958
619589413_436200_436212_25443,9473819844558451,9473819844558451
912272968_436227_436239_25396,6296447635451777,6296447635451777
568204248_436264_436273_25223,4383632784235832,4383632784235832
912272968_436276_436294_25678,7662377983438415,7662377983438415
619589413_436370_436395_25426,6916735461466181,6916735461466181
568204248_436421_436433_26077,8172677273338473,8172677273338473
568204248_436546_436557_25428,2241384893216651,2241384893216651
619589413_436632_436640_25295,8152393792485675,8152393792485675
619589413_436863_436876_25289,2219226234717698,2219226234717698
860296669_437014_437029_26016,2837823341381468,2837823341381468
912272968_437118_437126_25839,3148533378936486,3148533378936486
619589413_437134_437147_25645,7391715327747998,7391715327747998
912272968_437149_437164_25508,4835765193675696,4835765193675696
568204248_437331_437337_26151,3282612279591986,3282612279591986
568204248_437339_437346_25203,9367955442287884,9367955442287884
568204248_437358_437363_26103,4716368996971597,4716368996971597
568204248_437387_437395_25995,7145759368157471,7145759368157471
912272968_437383_437396_25474,7462895316449631,7462895316449631
912272968_437423_437433_25459,7125111311226299,7125111311226299
341881303_437526_437539_25382,3932721325844146,3932721325844146
619589413_437546_437552_25855,6585431787342966,6585431787342966
619589413_437632_437637_25483,2465959464291482,2465959464291482
341881303_437647_437663_25247,1116345653771331,1116345653771331
568204248_437813_437821_25829,4332479599694452,4332479599694452
912272968_437953_437956_25498,7863764433748285,7863764433748285
341881303_438035_438051_25405,2633717262482577,2633717262482577
568204248_438090_438100_25705,1753888435382584,1753888435382584
341881303_438094_438107_25673,8927869922762144,8927869922762144
912272968_438142_438155_25941,7781346266728668,7781346266728668
713611046_438171_438183_26036,3118151598353872,3118151598353872
341881303_438343_438350_25680,2577343296151155,2577343296151155
568204248_438374_438375_25255,1559321934642335,1559321934642335
568204248_438448_438451_25967,2746117671312891,2746117671312891
341881303_438528_438537_25264,5347255219887792,5347255219887792
341881303_438538_438543_26119,9582181588476634,9582181588476634
568204248_438542_438545_25226,8333924596567727,8333924596567727
341881303_438635_438645_26139,6282489946455293,6282489946455293
619589413_438853_438859_25261,4151914277214359,4151914277214359
341881303_439547_439556_25304,2647394628498158,2647394628498158
619589413_439583_439592_26135,6452812591986354,6452812591986354
568204248_439589_439594_25265,2515975151332425,2515975151332425
619589413_439720_439725_25993,6354562785769486,6354562785769486
619589413_439738_439745_25731,7192718442477379,6192718442477379
619589413_439851_439858_25378,2332469294328686,2332469294328686
619589413_439874_439881_25629,8816964787637681,8816964787637681
619589413_439932_439936_25383,1241356528586265,1241356528586265
568204248_439706_439710_25749,6615951751283193,6615951751283193
568204248_440048_440055_25353,4746446279252449,4746446279252449
341881303_440052_440062_25593,5185697252649627,5185697252649627
619589413_440063_440067_25667,9377353432625699,9377353432625699
568204248_440104_440111_25922,5713841774282737,5713841774282737
568204248_440120_440125_26081,3941712335724919,3941712335724919
341881303_440190_440201_25585,9765669242948413,9765669242948413
568204248_440217_440220_25207,3461597138191124,3461597138191124
341881303_440364_440373_25379,1917227372881213,1917227372881213
341881303_440394_440407_25307,4241273391649997,4241273391649997
568204248_440436_440442_25487,5298537839849115,5298537839849115
568204248_440444_440449_26093,5191627736327954,5191627736327954
619589413_440642_440649_25958,8391298486216457,8391298486216457
619589413_440747_440748_25597,7644295862572498,7644295862572498
341881303_440898_440903_25592,4975516435168646,4975516435168646
341881303_440930_440933_25528,1143932665332888,1143932665332888
619589413_440932_440935_26117,6629431331995926,6629431331995926
619589413_441014_441017_26009,9798127838151273,9798127838151273
341881303_441098_441103_25842,4885149974833152,4885149974833152
1269496718_441337_441338_25302,8165314829529778,8165314829529778
341881303_441439_441450_25406,3395697478835618,3395697478835618
1269496718_441675_441681_25758,1466764327834174,1466764327834174
341881303_441694_441703_25633,9981222294427181,9981222294427181
341881303_441766_441780_25214,8572179686915129,8572179686915129
1269496718_441778_441783_25559,7911551765836459,7911551765836459
619589413_441806_441811_25350,7714817678126942,7714817678126942
619589413_441868_441877_25906,4213549599289544,4213549599289544
1269496718_441910_441917_25456,8549687823438897,8549687823438897
619589413_442070_442075_25616,5683632828419937,5683632828419937
341881303_441922_441927_25964,7813987991225499,7813987991225499
341881303_442196_442203_25697,4167441161899279,4167441161899279
1269496718_442385_442388_25349,4252379423366428,4252379423366428
341881303_442411_442428_25637,1789341142486422,1789341142486422
1347919237_442732_442734_26080,1341945547136437,1341945547136437
341881303_442359_442364_25268,2149197294233481,214919729423381
1297961140_442829_442830_25998,2681725944179365,2681725944179365
1347919237_442901_442902_25874,3525827287493141,3525827287493141
1201653758_443004_443005_25573,2597625967958511,2597625967958511
1201653758_443058_443059_25819,1737278832997814,1737278832997814
5196964268_443098_443099_25272,7247612376713471,7247612376713471
5196964268_443176_443179_25397,3563931735351318,3563931735351318
5196964268_443226_443231_25684,9136768338494311,9136768338494311
5196964268_443364_443365_26004,6878459893134941,6878459893134941
5196964268_443384_443385_25631,1852748675886362,1852748675886362
5196964268_443424_443425_25471,8321669711285478,8321669711285478
5196964268_443438_443439_25947,4923347953481575,4923347953481575
5196964268_443484_443485_25311,7869679771917185,7869679771917185
5196964268_443496_443497_25665,2854893129718752,2854893129718752
575298922_443610_443611_25259,1671739751797778,1671739751797778
575298922_443678_443679_26101,7675732391848473,7675732391848473
575298922_443684_443685_25494,7498471181787151,7498471181787151
2016758610_443833_443837_25594,8433746238764383,8433746238764383
1051072005_443892_443897_25476,2729779728892514,2729779728892514
1051072005_443956_443957_25598,6175914524625964,6175914524625964
1051072005_443962_443966_25450,3843767821786981,3843767821786981
1051072005_444017_444018_25831,8247221554779549,8247221554779549
1051072005_444041_444042_26147,8111887822228163,8111887822228163
1051072005_444103_444104_26124,7538894577269888,7538894577269888
1051072005_444270_444271_25169,1859146278437880,1859146278437887
1051072005_444280_444281_25460,4292896971589411,4292896971589411
1051072005_444469_444470_25467,6178719156632889,6178719156632889
1051072005_444493_444494_25283,3616631535458678,3616631535458678
828296631_444578_444584_25713,8777571782948196,8777571782948196
575298922_444598_444601_25901,1266375885136483,1266375885136483
1229817727_444701_444702_25477,8288129232495742,8288129232495742
1043664892_444847_444848_25279,1865685614568845,1865685614568845
1043664892_444853_444854_26116,7852237691741839,7852237691741839
575298922_444992_444993_25583,2775275323738591,2775275323738591
1013880018_445136_445149_26126,2161694965717529,2161694965717529
1128232293_445196_445205_25910,8459125675853331,8459125675853331
575298922_445338_445341_25897,1487396333633974,1487396333633974
1013880018_445388_445395_25755,1511482235696613,1511482235696613
1128232293_445466_445471_26096,6446379642661934,6446379642661934
1878274529_445530_445537_25167,7762622916512191,7762622916512191
575298922_445603_445615_25488,5679378316312589,5679378316312589
575298922_445715_445730_25790,9751587449268363,9751587449268363
1347919237_445774_445795_25569,6577725182922729,6577725182922729
1878274529_445836_445841_25913,8768128949849775,8768128949849775
1128232293_445845_445860_25478,6417453916113216,6417453916113216
1347919237_445797_445869_25324,1482698728181515,1482698728181515
976055738_445884_445897_26002,3452841134923691,3452841134923691
1347919237_446099_446115_25572,8276183883617367,8276183883617367
1013880018_446141_446158_25756,8696413756122349,8696413756122349
1347919237_446221_446236_25286,9696713427944423,9696713427944423
1043664892_446367_446374_25320,2272655219252412,2272655219252412
1043664892_446525_446529_25873,2682267563323165,2682267563323165
575298922_446701_446710_26110,8572758657521942,8572758657521942
575298922_446711_446716_25832,5394935515777552,5394935515777552
575298922_446759_446797_25542,3269767923622195,3269767923622195
1013880018_446996_447013_25584,7398998127694648,7398998127694648
1082554792_447193_447198_25315,5691377416356737,5691377416356737
619589413_447218_447228_25258,4231237454815213,4231237454815213
1082554792_447303_447304_25915,8365665471637396,8365665471637396
1082554792_447323_447328_25675,7975425649128473,7975425649128473
5591209497_447408_447427_26072,5664378984157951,5664378984157951
1128232293_447512_447526_25489,9672581658938613,9672581658938613
1082554792_447554_447569_25690,8283213941583275,8283213941583275
5591209497_447610_447621_26070,1417486718861894,1417486718861894
1878274529_447657_447665_25556,6328816276669156,6328816276669156
1878274529_447666_447681_25342,6612876812893691,6612876812893691
619589413_447757_447779_25399,7739477548179826,7739477548179826
1082554792_447778_447789_25625,6845143414783649,6845143414783649
619589413_447839_447850_25485,6876265253278911,6876265253278911
1128232293_447892_447907_25658,1866357494528476,1866357494528476
1013880018_448548_448564_25451,2775646423757664,2775646423757664
976055738_448626_448641_25942,1685414996634165,1685414996634165
976055738_448670_448683_25252,4738615492946791,4738615492946791
1082554792_448833_448845_25376,8426823114484569,8426823114484569
1878274529_448915_448934_26011,5972294157245369,5972294157245369
828296631_449046_449065_25512,1944827476824961,1944827476824961
1878274529_449060_449115_25522,2757265377877123,2757265377877123
1878274529_449143_449172_25581,3637464431853442,3637464431853442
976055738_449209_449240_26094,7158551925747136,7158551925747136
5591209497_449451_449462_25419,8743775216192839,8743775216192839
1878274529_449486_449495_25381,1688212785453649,1688212785453649
5591209497_449525_449538_25274,4411142139278953,4411142139278953
828296631_449644_449654_26029,1173384232144249,1173384232144249
1878274529_449988_449995_25537,9926136686763148,9926136686763148
1013880018_450036_450045_25549,1197987854343443,119798785434344343
976055738_450083_450093_25672,2263517513593129,2263517513593129
314849420_450090_450101_25262,2419722419848661,2419722419848661
1013880018_450158_450171_25753,6515363228232246,6515363228232246
1878274529_450178_450181_25696,7564679313164175,7564679313164175
5591209497_450438_450447_25440,5953663519226379,5953663519226379
314849420_450536_450559_26099,9682889268473124,9682889268473124
5591209497_450856_450866_25294,6336515263128565,6336515263128565
763941567_451048_451060_26146,4969483733952851,4969483733952851
5591209497_451063_451078_25646,2127821142535172,2127821142535172
1082554792_451210_451216_26022,7266921488412823,7266921488412823
539261624_451154_451225_25285,6742748352586568,6742748352586568
815993798_451306_451321_25822,6985396518647354,6985396518647354
815993798_451348_451362_25643,5488328794471831,5488328794471831
815993798_451435_451454_26132,9481464881457372,9481464881457372
763941567_451666_451673_25707,9673672574682883,9673672574682883
1878274529_451736_451747_25499,2163653742944999,2163653742944999
1878274529_451759_451767_25772,2946834367585819,2946834367585819
5591209497_451779_451790_25997,7526731456826628,7526731456826628
1878274529_451811_451816_25870,6632464146866923,6632464146866923
1128232293_451853_451865_25605,8624575233222574,8624575233222574
539261624_452001_452015_25166,8586772982461448,8586772982461448
815993798_452159_452170_25484,3522589657895735,3522589657895735
860296669_452280_452295_25662,4513362859961351,4513462859961351
815993798_452537_452548_25577,1895217812959273,1895217812959273
5591209497_452578_452643_25436,3889111743252448,3889111743252448
5591209497_452662_452683_25287,2958141582259193,2958141582259193
5591209497_452746_452768_25623,6125217524663997,6125217524663997
976055738_452749_452783_26098,2454523987265412,24545239877265412
539261624_452949_452959_26130,7298512158961345,7298512158961345
1878274529_452910_452963_25752,8699651447882131,8699651447882131
1878274529_452964_452969_26062,2317953735124726,2317953735124726
539261624_452974_452983_25300,1969628148471116,1969628148471116
892642911_452996_453007_25830,6969578157641355,6969578157641355
892642911_453009_453023_26129,6417523138111395,6417523138111395
539261624_453272_453300_26128,6274958982477196,6274958982477196
892642911_453539_453557_25807,3582394378137133,3582394378137133
713611046_453777_453800_25309,6147852534539494,6147852534539494
539261624_453951_453960_25497,3774383381394184,3774383381394184
976055738_453975_453992_26134,9671124418914277,9671124418914277
5591209497_454016_454039_25421,4971591861329596,4971591861329596
1878274529_454383_454392_25525,8124188558413576,8124188558413576
1229817727_454341_454398_25708,3221428447793851,3221428447793851
5591209497_454581_454597_25602,5521456449922231,5521456449922231
976055738_454590_454603_25895,7542924219362316,7542924219362316
1229817727_454607_454617_25403,1788231241598961,1788231241598961
828296631_454714_454733_26027,4559128991341334,4559128991341334
1229817727_454817_454829_25201,9186481276936739,9186481276936739
976055738_454866_454896_25990,2339347523919811,2339347523919811
539261624_454905_454925_25798,2318734813824422,2318734813824422
5591209497_454737_454756_25820,3671837927531963,3671837927531963
828296631_455224_455234_25600,2565993828259898,2565993828259898
763941567_455229_455238_25666,9368143788442166,9368143788442166
1229817727_455384_455402_25570,6432468123885797,6432468123885797
763941567_455766_455777_25994,8189565884979416,8189565884979416
5591209497_455799_455817_26030,1851134457524359,1851134457524359
815993798_456031_456045_25533,3699582679935263,3699582679935263
1128232293_456161_456175_25343,7757565741664498,7757565741664498
1128232293_456211_456222_25754,8347376987137283,8347376987137283
892642911_456447_456466_25325,6459427966325284,6459427966325284
809763511_456529_456560_26140,4894576593844581,4894576593844581
539261624_456649_456670_25327,9125861877789771,9125861877789771
815993798_456703_456723_26131,4218596855632431,4218596855632431
815993798_456764_456777_25481,1389674367335862,1389674367335862
763941567_456765_456780_25770,8179281968544936,8179281968544936
539261624_456775_456802_25164,5886512421187965,588651242187965
5591209497_456903_456935_25746,4323278821563735,4323278821563735
763941567_456925_456944_26082,1819326867655626,1819326867655626
828296631_456989_457005_25196,7222295412357995,7222295412357995
815993798_457017_457031_25834,1911876822649396,1911876822649396
815993798_457060_457075_26154,8688475829445651,8688475829445651
828296631_457158_457176_25931,4687762683445759,4687762683445759
527731854_457175_457187_25341,9487595166372818,9487595166372818
860296669_456743_457311_26123,2441877925638165,2441877925638165
527731854_457350_457362_25553,3896692256168929,3896692256168929
1128232293_457529_457542_25479,2157654226334513,2157654226334513
828296631_457562_457573_25351,1291178466919973,1291178466919973
527731854_457676_457690_25303,7473164716565815,7473164716565815
1229817727_457678_457712_25797,1622561186847951,1622561186847951
763941567_457724_457733_25536,1482546544253489,1482546544253489
1128232293_457717_457736_25603,5447119945224273,5447119945224273
527731854_457817_457830_25217,8542953751246916,8542953751246916
713611046_457898_457920_25773,7326855785884734,7326855785884734
763941567_458013_458020_25840,4297397968526261,4297397968526261
527731854_458079_458086_25595,4219391816217961,4219391816217961
1128232293_457905_458108_25492,3237353264898237,3237353264898237
527731854_458146_458153_25984,9588464763678129,9588464763678129
828296631_458377_458386_25547,7933124882761968,7933124882761968
1878274529_458380_458397_25510,9848273263295477,9848273263295477
527731854_458460_458467_26114,6346548668557669,6346548668557669
527731854_458474_458481_25859,9413777614966824,9413777614966824
1229817727_458584_458599_25962,6621893193511226,6621893193511226
713611046_458592_458617_25930,7884629213162663,7884629213162663
527731854_458768_458777_25366,7872753247731741,7872753247731741
1878274529_458780_458786_25689,8573961753327836,8573961753327836
1229817727_458856_458878_25882,9535673548821796,9535673548821796
