audio,audio_filepath,data_type,transcription
1043664892_429748_429749_26682,/train/car-number/voices/1043664892_429748_429749_26682.ogg,car,Өйті өйті өйті өйті өйті өйті өйті өйті
1128232293_456980_456986_26982,/train/car-number/voices/1128232293_456980_456986_26982.ogg,car,12ZP374
815993798_471407_471414_26796,/train/car-number/voices/815993798_471407_471414_26796.ogg,car,Svíð þetta verði dördegur.
575298922_417274_417275_27141,/train/car-number/voices/575298922_417274_417275_27141.ogg,car,әлі алты а-а алты үз әлі секіс.
1878274529_450365_450369_26475,/train/car-number/voices/1878274529_450365_450369_26475.ogg,car,ұтқыс доқыз ұнадан сәкіз
5591209497_449756_449763_26416,/train/car-number/voices/5591209497_449756_449763_26416.ogg,car,10 g f 4 6 6
671891258_476077_476090_26568,/train/car-number/voices/671891258_476077_476090_26568.ogg,car,38MU875
1150481435_415982_415983_26584,/train/car-number/voices/1150481435_415982_415983_26584.ogg,car,"Sıfır doqquz o ağa, 213."
1878274529_450480_450483_26505,/train/car-number/voices/1878274529_450480_450483_26505.ogg,car,17 H A 398
5196964268_466601_466610_26595,/train/car-number/voices/5196964268_466601_466610_26595.ogg,car,72 тызы 034
341881303_437612_437619_26968,/train/car-number/voices/341881303_437612_437619_26968.ogg,car,69 əmən 441
713611046_476530_476550_27014,/train/car-number/voices/713611046_476530_476550_27014.ogg,car,"27, O, Q, 185"
954206432_421594_421597_26956,/train/car-number/voices/954206432_421594_421597_26956.ogg,car,45.JF325
426881765_421661_421664_26926,/train/car-number/voices/426881765_421661_421664_26926.ogg,car,ondört qüb doqcud seysən iki
763941567_451885_451898_26688,/train/car-number/voices/763941567_451885_451898_26688.ogg,car,onaltı jəə səkiz yüz yirmi bir
1878274529_454262_454268_26271,/train/car-number/voices/1878274529_454262_454268_26271.ogg,car,60 ı m 104
1013880018_447119_447128_26215,/train/car-number/voices/1013880018_447119_447128_26215.ogg,car,39 UF 318
671891258_469123_469133_27031,/train/car-number/voices/671891258_469123_469133_27031.ogg,car,06 IO 598
1043664892_429095_429096_26628,/train/car-number/voices/1043664892_429095_429096_26628.ogg,car,қырқшы мзі бешүз досын етті
763941567_458317_458330_26354,/train/car-number/voices/763941567_458317_458330_26354.ogg,car,45 xul əf 897
1269496718_435362_435364_26502,/train/car-number/voices/1269496718_435362_435364_26502.ogg,car,16 yıldızı 139.
1878274529_460585_460589_26381,/train/car-number/voices/1878274529_460585_460589_26381.ogg,car,қарmış-aldı үйətlədə
763941567_451560_451568_27026,/train/car-number/voices/763941567_451560_451568_27026.ogg,car,Əlli doqquz F-A yətli yüz qöpqüki
1268975918_426400_426401_26155,/train/car-number/voices/1268975918_426400_426401_26155.ogg,car,"4, 4, 4, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5"
860296669_430574_430579_26607,/train/car-number/voices/860296669_430574_430579_26607.ogg,car,O suç h a yüz dokuz.
671891258_473760_473772_26555,/train/car-number/voices/671891258_473760_473772_26555.ogg,car,30 vs 164
1297961140_459541_459558_27124,/train/car-number/voices/1297961140_459541_459558_27124.ogg,car,02 EY 539
1150481435_416612_416613_26542,/train/car-number/voices/1150481435_416612_416613_26542.ogg,car,17 mk 348
1051072005_443794_443797_26385,/train/car-number/voices/1051072005_443794_443797_26385.ogg,car,QXXQ əzdə 693
1150481435_414536_414539_26611,/train/car-number/voices/1150481435_414536_414539_26611.ogg,car,33 CF 276
1297961140_462521_462535_27009,/train/car-number/voices/1297961140_462521_462535_27009.ogg,car,09 b y 7 3 4
527731854_466841_466852_26264,/train/car-number/voices/527731854_466841_466852_26264.ogg,car,55 AK677
1269496718_431527_431530_27145,/train/car-number/voices/1269496718_431527_431530_27145.ogg,car,"38, nd 608"
828296631_458576_458585_26392,/train/car-number/voices/828296631_458576_458585_26392.ogg,car,77 WZ151
619589413_438641_438643_26879,/train/car-number/voices/619589413_438641_438643_26879.ogg,car,02 mc 308 6
1082554792_464766_464920_27099,/train/car-number/voices/1082554792_464766_464920_27099.ogg,car,71 ЕЖ-176
1150481435_416102_416103_26941,/train/car-number/voices/1150481435_416102_416103_26941.ogg,car,44 OS 339
815993798_468881_468887_26882,/train/car-number/voices/815993798_468881_468887_26882.ogg,car,71VO914
1043664892_429566_429567_26613,/train/car-number/voices/1043664892_429566_429567_26613.ogg,car,ермі ақты иі дөрт ұңсәкес
1269496718_433312_433317_26493,/train/car-number/voices/1269496718_433312_433317_26493.ogg,car,25 pıcı 437
568204248_440284_440288_27149,/train/car-number/voices/568204248_440284_440288_27149.ogg,car,51.069
919361428_427331_427332_26325,/train/car-number/voices/919361428_427331_427332_26325.ogg,car,33 WH 945
5196964268_423069_423070_26158,/train/car-number/voices/5196964268_423069_423070_26158.ogg,car,сфір алты у чу сфір алты алты
1201653758_462414_462425_26990,/train/car-number/voices/1201653758_462414_462425_26990.ogg,car,İ24SR 576
2016758610_469733_469742_26509,/train/car-number/voices/2016758610_469733_469742_26509.ogg,car,50-J-M-238
5591209497_453566_453577_26430,/train/car-number/voices/5591209497_453566_453577_26430.ogg,car,un yedi v j yedi yüz səksənbüc
671891258_474689_474700_26408,/train/car-number/voices/671891258_474689_474700_26408.ogg,car,09VY 674
1347919237_479543_479554_26714,/train/car-number/voices/1347919237_479543_479554_26714.ogg,car,44 q q 166
828296631_456019_456028_26924,/train/car-number/voices/828296631_456019_456028_26924.ogg,car,77 vc 674
763941567_457552_457561_26548,/train/car-number/voices/763941567_457552_457561_26548.ogg,car,Он бил FF 0-1.
892642911_472440_472455_26332,/train/car-number/voices/892642911_472440_472455_26332.ogg,car,"60-çı, 50, F, 313-çı"
1128232293_445634_445642_27024,/train/car-number/voices/1128232293_445634_445642_27024.ogg,car,31ZJ577
705098248_420741_420742_26687,/train/car-number/voices/705098248_420741_420742_26687.ogg,car,40 фойчі 535
1347919237_479819_479831_26242,/train/car-number/voices/1347919237_479819_479831_26242.ogg,car,"Əlli bir, y, c, altı yüz yətmiş bir."
314849420_477481_477497_26202,/train/car-number/voices/314849420_477481_477497_26202.ogg,car,"Hjörn með býr aðe, ég þýðs ég þýð."
5196964268_465712_465722_26768,/train/car-number/voices/5196964268_465712_465722_26768.ogg,car,Əll iki si en altı yüz on üç
1347919237_479186_479196_26805,/train/car-number/voices/1347919237_479186_479196_26805.ogg,car,06-J-Q-4808
5591209497_450895_450896_26306,/train/car-number/voices/5591209497_450895_450896_26306.ogg,car,14.CY 512
671891258_472635_472642_26405,/train/car-number/voices/671891258_472635_472642_26405.ogg,car,43w2 0 zəhsən 2
5028632961_421504_421505_26618,/train/car-number/voices/5028632961_421504_421505_26618.ogg,car,Əлli dörd lıu üçüz qıx yedi
919361428_432460_432462_26578,/train/car-number/voices/919361428_432460_432462_26578.ogg,car,киркші зүйі еттүз киркбир
426881765_454421_454436_26694,/train/car-number/voices/426881765_454421_454436_26694.ogg,car,35WN283
815993798_471088_471092_26952,/train/car-number/voices/815993798_471088_471092_26952.ogg,car,етmişте екә 996
763941567_460649_460655_26233,/train/car-number/voices/763941567_460649_460655_26233.ogg,car,Едмялты МВ беше с къл халты?
2016758610_471553_471562_26308,/train/car-number/voices/2016758610_471553_471562_26308.ogg,car,15 YA 315
763941567_452769_452785_26293,/train/car-number/voices/763941567_452769_452785_26293.ogg,car,Құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл құрыл
619589413_435945_435952_27022,/train/car-number/voices/619589413_435945_435952_27022.ogg,car,24 Fİ 558
1043664892_429422_429423_26605,/train/car-number/voices/1043664892_429422_429423_26605.ogg,car,әллі бір пен 116
828296631_471780_471790_27152,/train/car-number/voices/828296631_471780_471790_27152.ogg,car,әлі бірдегі сұфырғыр халты
954206432_421813_421814_26788,/train/car-number/voices/954206432_421813_421814_26788.ogg,car,21CY 494
341881303_442347_442349_27123,/train/car-number/voices/341881303_442347_442349_27123.ogg,car,20 KN 331
5196964268_465083_465085_26275,/train/car-number/voices/5196964268_465083_465085_26275.ogg,car,64 TI 093
954206432_421815_421818_26586,/train/car-number/voices/954206432_421815_421818_26586.ogg,car,71 U A 556
1297961140_461768_461775_26814,/train/car-number/voices/1297961140_461768_461775_26814.ogg,car,14RB222
1051072005_434056_434059_26855,/train/car-number/voices/1051072005_434056_434059_26855.ogg,car,90 vt 321
1201653758_461671_461677_27132,/train/car-number/voices/1201653758_461671_461677_27132.ogg,car,қыркүйк үй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй құй
5591209497_456680_456690_26656,/train/car-number/voices/5591209497_456680_456690_26656.ogg,car,әлі алты пә қә доқүс қырқ bir
539261624_463886_463891_26916,/train/car-number/voices/539261624_463886_463891_26916.ogg,car,алтымыш төрд w a 172
5440156582_417722_417723_26433,/train/car-number/voices/5440156582_417722_417723_26433.ogg,car,10MA956
575298922_445326_445327_26248,/train/car-number/voices/575298922_445326_445327_26248.ogg,car,Svo fyrir ég til QM sekkjuðirmi sekkis.
671891258_467632_467635_26226,/train/car-number/voices/671891258_467632_467635_26226.ogg,car,17 AB 276
828296631_468096_468104_26908,/train/car-number/voices/828296631_468096_468104_26908.ogg,car,Əlli altı AR altı yüz yetmiş beş
1150481435_413611_413612_26961,/train/car-number/voices/1150481435_413611_413612_26961.ogg,car,қырқықшы дәйін үздоқсан етті
314849420_450176_450183_26172,/train/car-number/voices/314849420_450176_450183_26172.ogg,car,ұлты алты алты үйетті
1009209372_462247_462253_26506,/train/car-number/voices/1009209372_462247_462253_26506.ogg,car,"06, G, C, 012."
919361428_427911_427912_26574,/train/car-number/voices/919361428_427911_427912_26574.ogg,car,58-IN-081
5440156582_425000_425001_26256,/train/car-number/voices/5440156582_425000_425001_26256.ogg,car,46HV 559
892642911_455692_455695_26312,/train/car-number/voices/892642911_455692_455695_26312.ogg,car,ƏLLÜK U L 419
705098248_419904_419907_27045,/train/car-number/voices/705098248_419904_419907_27045.ogg,car,Өйті жүргі құрықтар
1128232293_448145_448164_26820,/train/car-number/voices/1128232293_448145_448164_26820.ogg,car,Сфрияты НЕ 30 сгурхсачес.
713611046_452737_452748_26784,/train/car-number/voices/713611046_452737_452748_26784.ogg,car,64. M.E. 004
1269496718_433135_433136_27020,/train/car-number/voices/1269496718_433135_433136_27020.ogg,car,53-49-52
1051072005_433699_433701_26190,/train/car-number/voices/1051072005_433699_433701_26190.ogg,car,күркс етте фа алтығыз ермі алты
860296669_465310_465327_26974,/train/car-number/voices/860296669_465310_465327_26974.ogg,car,"22, M, K, 3, 7, 6."
671891258_478843_478858_26522,/train/car-number/voices/671891258_478843_478858_26522.ogg,car,40-п.и. 079
954206432_424255_424256_26903,/train/car-number/voices/954206432_424255_424256_26903.ogg,car,39 MK 251
815993798_470465_470483_26520,/train/car-number/voices/815993798_470465_470483_26520.ogg,car,Yirmət əm əm 272
568204248_436987_436993_26335,/train/car-number/voices/568204248_436987_436993_26335.ogg,car,қирисəkiz ən qü üçüüz doxsan dörd
5028632961_418819_418820_26359,/train/car-number/voices/5028632961_418819_418820_26359.ogg,car,16 M K 596
1201653758_471502_471517_26733,/train/car-number/voices/1201653758_471502_471517_26733.ogg,car,55CO086
568204248_440627_440633_26272,/train/car-number/voices/568204248_440627_440633_26272.ogg,car,Ұналты әсті үйүз қырқы
1878274529_451984_451987_26799,/train/car-number/voices/1878274529_451984_451987_26799.ogg,car,61 aj959
671891258_469687_469693_26523,/train/car-number/voices/671891258_469687_469693_26523.ogg,car,37 NF622
1128232293_449088_449105_26598,/train/car-number/voices/1128232293_449088_449105_26598.ogg,car,07 GJ 443
314849420_469121_469132_26918,/train/car-number/voices/314849420_469121_469132_26918.ogg,car,63-i ay 608
1128232293_465239_465252_26466,/train/car-number/voices/1128232293_465239_465252_26466.ogg,car,кіркік құқыз оғдай 117
1878274529_449174_449182_26390,/train/car-number/voices/1878274529_449174_449182_26390.ogg,car,18QB067
892642911_471608_471618_27147,/train/car-number/voices/892642911_471608_471618_27147.ogg,car,29 п о 484
1082554792_479084_479099_26192,/train/car-number/voices/1082554792_479084_479099_26192.ogg,car,"49, 7, 609"
713611046_453457_453468_26863,/train/car-number/voices/713611046_453457_453468_26863.ogg,car,27 G S 018
828296631_449491_449497_27133,/train/car-number/voices/828296631_449491_449497_27133.ogg,car,алтын үш алты әс әф үтсіз қырсәкіз
1878274529_460893_460901_26425,/train/car-number/voices/1878274529_460893_460901_26425.ogg,car,26 VVV 768
910545275_415547_415548_26339,/train/car-number/voices/910545275_415547_415548_26339.ogg,car,72 yırfı 159
568204248_436486_436493_26249,/train/car-number/voices/568204248_436486_436493_26249.ogg,car,Kyrkbeis kávö ykjuð ótsiki.
1013880018_451714_451721_26780,/train/car-number/voices/1013880018_451714_451721_26780.ogg,car,63 www.9921
1082554792_460475_460488_26911,/train/car-number/voices/1082554792_460475_460488_26911.ogg,car,ерміңіңді алден алданқамбыш
1043664892_428879_428880_26704,/train/car-number/voices/1043664892_428879_428880_26704.ogg,car,Əli dört qızı 431
2016758610_471346_471352_26349,/train/car-number/voices/2016758610_471346_471352_26349.ogg,car,қыркүйкүйкүй жүрі құркүйс алтынш бір
1051072005_433011_433012_26160,/train/car-number/voices/1051072005_433011_433012_26160.ogg,car,68TY952
2016758610_443784_443785_26174,/train/car-number/voices/2016758610_443784_443785_26174.ogg,car,54 EO 139
5196964268_423161_423162_26783,/train/car-number/voices/5196964268_423161_423162_26783.ogg,car,"3, 8, ə, bi, 5, 3, 2"
892642911_455761_455833_27018,/train/car-number/voices/892642911_455761_455833_27018.ogg,car,68WN364
910545275_415095_415096_26929,/train/car-number/voices/910545275_415095_415096_26929.ogg,car,үлкен құлтымыс сәкіз үлкен құлтымыс беш беш
892642911_424045_424046_27135,/train/car-number/voices/892642911_424045_424046_27135.ogg,car,06 S E 008
1043664892_430373_430374_26414,/train/car-number/voices/1043664892_430373_430374_26414.ogg,car,ириньбеш пубы алтыңыз әл сәккіз
527731854_464019_464028_26355,/train/car-number/voices/527731854_464019_464028_26355.ogg,car,68XY264
341881303_437506_437510_26531,/train/car-number/voices/341881303_437506_437510_26531.ogg,car,70HX021
1269496718_436598_436603_26964,/train/car-number/voices/1269496718_436598_436603_26964.ogg,car,70 yılı 512.
1268975918_426472_426473_26876,/train/car-number/voices/1268975918_426472_426473_26876.ogg,car,"0, 9, P, C, 161."
527731854_458581_458588_26822,/train/car-number/voices/527731854_458581_458588_26822.ogg,car,23 Esik 127
2016758610_472922_472928_27146,/train/car-number/voices/2016758610_472922_472928_27146.ogg,car,ермі дөрт ф жі күз ермі алты
815993798_466301_466317_26162,/train/car-number/voices/815993798_466301_466317_26162.ogg,car,25 fw665
5591209497_457340_457347_26891,/train/car-number/voices/5591209497_457340_457347_26891.ogg,car,04Zi 141
828296631_455702_455709_26254,/train/car-number/voices/828296631_455702_455709_26254.ogg,car,18 OEM 682
705098248_421166_421167_26794,/train/car-number/voices/705098248_421166_421167_26794.ogg,car,44.2839
919361428_432483_432484_26377,/train/car-number/voices/919361428_432483_432484_26377.ogg,car,41 nətəy 827
1150481435_414720_414723_26213,/train/car-number/voices/1150481435_414720_414723_26213.ogg,car,01DD585
